Year,Month,Revenue Passenger Miles,Airport Name
2007,8,299153,"- Austin, TX: Austin - Bergstrom International"
2007,9,244801,"- Austin, TX: Austin - Bergstrom International"
2007,10,264156,"- Austin, TX: Austin - Bergstrom International"
2007,11,253994,"- Austin, TX: Austin - Bergstrom International"
2007,12,246520,"- Austin, TX: Austin - Bergstrom International"
2008,1,222923,"- Austin, TX: Austin - Bergstrom International"
2008,2,217789,"- Austin, TX: Austin - Bergstrom International"
2008,3,277924,"- Austin, TX: Austin - Bergstrom International"
2008,4,254857,"- Austin, TX: Austin - Bergstrom International"
2008,5,295475,"- Austin, TX: Austin - Bergstrom International"
2008,6,323336,"- Austin, TX: Austin - Bergstrom International"
2008,7,327386,"- Austin, TX: Austin - Bergstrom International"
2008,8,319945,"- Austin, TX: Austin - Bergstrom International"
2008,9,237681,"- Austin, TX: Austin - Bergstrom International"
2008,10,268885,"- Austin, TX: Austin - Bergstrom International"
2008,11,236374,"- Austin, TX: Austin - Bergstrom International"
2008,12,249191,"- Austin, TX: Austin - Bergstrom International"
2009,1,208831,"- Austin, TX: Austin - Bergstrom International"
2009,2,196842,"- Austin, TX: Austin - Bergstrom International"
2009,3,265531,"- Austin, TX: Austin - Bergstrom International"
2009,4,249715,"- Austin, TX: Austin - Bergstrom International"
2009,5,249247,"- Austin, TX: Austin - Bergstrom International"
2009,6,282436,"- Austin, TX: Austin - Bergstrom International"
2009,7,301128,"- Austin, TX: Austin - Bergstrom International"
2009,8,293319,"- Austin, TX: Austin - Bergstrom International"
2009,9,241059,"- Austin, TX: Austin - Bergstrom International"
2009,10,274309,"- Austin, TX: Austin - Bergstrom International"
2009,11,249086,"- Austin, TX: Austin - Bergstrom International"
2009,12,252714,"- Austin, TX: Austin - Bergstrom International"
2010,1,225686,"- Austin, TX: Austin - Bergstrom International"
2010,2,201469,"- Austin, TX: Austin - Bergstrom International"
2010,3,279797,"- Austin, TX: Austin - Bergstrom International"
2010,4,257391,"- Austin, TX: Austin - Bergstrom International"
2010,5,273211,"- Austin, TX: Austin - Bergstrom International"
2010,6,291264,"- Austin, TX: Austin - Bergstrom International"
2010,7,319550,"- Austin, TX: Austin - Bergstrom International"
2010,8,304071,"- Austin, TX: Austin - Bergstrom International"
2010,9,261522,"- Austin, TX: Austin - Bergstrom International"
2010,10,294715,"- Austin, TX: Austin - Bergstrom International"
2010,11,283066,"- Austin, TX: Austin - Bergstrom International"
2010,12,281293,"- Austin, TX: Austin - Bergstrom International"
2011,1,253150,"- Austin, TX: Austin - Bergstrom International"
2011,2,233951,"- Austin, TX: Austin - Bergstrom International"
2011,3,315803,"- Austin, TX: Austin - Bergstrom International"
2011,4,287127,"- Austin, TX: Austin - Bergstrom International"
2011,5,308890,"- Austin, TX: Austin - Bergstrom International"
2011,6,312525,"- Austin, TX: Austin - Bergstrom International"
2011,7,333618,"- Austin, TX: Austin - Bergstrom International"
2011,8,321515,"- Austin, TX: Austin - Bergstrom International"
2011,9,286797,"- Austin, TX: Austin - Bergstrom International"
2011,10,311883,"- Austin, TX: Austin - Bergstrom International"
2011,11,286321,"- Austin, TX: Austin - Bergstrom International"
2011,12,279335,"- Austin, TX: Austin - Bergstrom International"
2012,1,250115,"- Austin, TX: Austin - Bergstrom International"
2012,2,246358,"- Austin, TX: Austin - Bergstrom International"
2012,3,324747,"- Austin, TX: Austin - Bergstrom International"
2012,4,300241,"- Austin, TX: Austin - Bergstrom International"
2012,5,320338,"- Austin, TX: Austin - Bergstrom International"
2012,6,339049,"- Austin, TX: Austin - Bergstrom International"
2012,7,366753,"- Austin, TX: Austin - Bergstrom International"
2012,8,351810,"- Austin, TX: Austin - Bergstrom International"
